game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url
root-raider,geo,geography geology,earth,earth,water,fire,life,Easy,vocabulary,Geo = earth. Geography = study of earth,,
root-raider,tele,telephone television,far/distant,far/distant,close,inside,above,Medium,vocabulary,Tele = far. Telephone = far sound,,
root-raider,chrono,chronological chronicle,time,time,color,sound,light,Medium,vocabulary,Chrono = time. Chronological = in time order,,
root-raider,phon,phonics telephone,sound,sound,light,smell,taste,Medium,vocabulary,Phon = sound. Phonics = study of sounds,,
root-raider,bene,benefit beneficial,good/well,good/well,bad,small,large,Hard,vocabulary,Bene = good. Benefit = something good,,
root-raider,mal,malfunction malice,bad/evil,bad/evil,good,fast,slow,Hard,vocabulary,Mal = bad. Malfunction = bad function,,
idiom-island,Break a leg!,Said to performers before a show,Good luck!,Good luck!,Get injured,Run away,Be careful,Easy,vocabulary,Theater tradition - wishing good luck,,
idiom-island,It's raining cats and dogs.,Describing weather,Raining very heavily,Raining very heavily,Animals falling,Light rain,Cloudy sky,Easy,vocabulary,Means extremely heavy rain,,
idiom-island,Piece of cake,Describing a task,Very easy,Very easy,Delicious food,Party time,Sweet treat,Easy,vocabulary,When something is super easy to do,,
idiom-island,Hit the books,What a student should do,Study hard,Study hard,Fight books,Throw books,Buy books,Medium,vocabulary,Means to study seriously,,
idiom-island,Under the weather,How someone feels,Feeling sick,Feeling sick,Outside in rain,Very cold,Lost compass,Medium,vocabulary,Feeling unwell or ill,,
idiom-island,Cost an arm and a leg,Describing a price,Very expensive,Very expensive,Need surgery,Free item,Body parts,Medium,vocabulary,Something that costs a lot of money,,
idiom-island,Burning the midnight oil,Describing work habits,Working very late,Working very late,Fire hazard,Cooking oil,Lamp repair,Hard,vocabulary,Working late into the night,,
idiom-island,Bite off more than you can chew,Describing a situation,Taking on too much,Taking on too much,Eating fast,Dental problem,Food fight,Hard,vocabulary,Taking on more than you can handle,,
homophone-hunt,_____ going to the park tomorrow.,They are going,They're,They're,Their,There,They,Easy,vocabulary,They're = They are,,
homophone-hunt,The dog wagged _____ tail happily.,Belonging to the dog,its,its,it's,its',is,Easy,vocabulary,Its = belonging to it (no apostrophe),,
homophone-hunt,Put the books over _____.,That place,there,there,their,they're,the,Easy,vocabulary,There = a place,,
homophone-hunt,_____ house is the blue one on the corner.,Belonging to them,Their,Their,There,They're,Theirs,Medium,vocabulary,Their = belonging to them,,
homophone-hunt,I _____ the answer to the question.,Past tense of know,knew,knew,new,kniew,know,Medium,vocabulary,Knew = past tense of know,,
homophone-hunt,We need to _____ the package today.,Send through mail,mail,mail,male,mael,mal,Medium,vocabulary,Mail = to send,,
homophone-hunt,The _____ of the story is to be kind.,Lesson learned,moral,moral,morale,mural,mortal,Hard,vocabulary,Moral = lesson or principle,,
homophone-hunt,The knight wore heavy _____ armor.,Made of metal,steel,steel,steal,stele,stil,Hard,vocabulary,Steel = metal. Steal = to take,,
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Green sandwiches and moon cheese,Green sandwiches and moon cheese,Pizza,Burgers,Rocks,Easy,comprehension,Did you read about the food?,He packed green sandwiches and moon cheese.,dynamic:shape:star
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Beep-Boop,Beep-Boop,Zorg,Gleep,Bloop,Easy,comprehension,Who was the robot?,"When he landed, he saw his friend Beep-Boop the robot.",dynamic:shape:star
story-nebula,The Space Picnic,"Zog the alien wanted to have a picnic on the moon. He packed green sandwiches and moon cheese. He flew his silver rocket ship past three bright stars. When he landed, he saw his friend Beep-Boop the robot. They sat on a crater and watched the Earth spin. It was a beautiful blue ball in the dark sky. Zog shared his sandwich, and Beep-Boop shared his oil juice. They were happy best friends.",Blue,Blue,Red,Green,Purple,Easy,comprehension,What color is Earth?,It was a beautiful blue ball in the dark sky.,dynamic:shape:star
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",Bubbles,Bubbles,Fire,Smoke,Ice,Easy,comprehension,What came out of his mouth?,He could only breathe bubbles!,dynamic:shape:heart
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",He couldn't breathe fire,He couldn't breathe fire,He was too small,He was green,He couldn't fly,Easy,comprehension,Why did they laugh?,Sparky was a small dragon who could not breathe fire.,dynamic:shape:heart
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",Used wet bubbles,Used wet bubbles,Stomped on it,Blew wind,Called for help,Easy,comprehension,How did he stop the fire?,The bubbles burst and water splashed everywhere. The fire went out!,dynamic:shape:heart
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Attic,Attic,Basement,Garden,Kitchen,Easy,comprehension,Where was the key?,Lily found a rusty old key in her grandmother's attic.,dynamic:shape:circle
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Heart,Heart,Star,Square,Circle,Easy,comprehension,What shape was it?,It had a shape of a heart on top.,dynamic:shape:circle
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Blue silk dress,Blue silk dress,Gold coins,Old toys,Books,Easy,comprehension,What was inside?,Inside was a beautiful dress made of blue silk.,dynamic:shape:circle
